[2026-03-27 22:39:43,095: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-27 22:39:43,102: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-27 22:39:43,103: INFO: common: created directory at:artifacts]
[2026-03-27 22:39:43,112: INFO: common: created directory at:artifacts\training]
[2026-03-28 12:54:30,919: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-28 12:54:30,927: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 12:54:30,927: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-28 12:54:30,940: INFO: common: created directory at:artifacts]
[2026-03-28 12:54:30,944: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-28 12:54:31,034: ERROR: main: [Errno 13] Permission denied: 'artifacts\\data_ingestion\\aptos2019dataset\\test.csv']
Traceback (most recent call last):
  File "C:\Users\MANJU\OneDrive\Desktop\MajorProjectResearchPaper\EndToEndMajorProject\main.py", line 11, in <module>
    data_ingestion.main()
  File "C:\Users\MANJU\OneDrive\Desktop\MajorProjectResearchPaper\EndToEndMajorProject\src\cnnClassifier\pipeline\stage_01_data_ingestion.py", line 16, in main
    data_ingestion.extract_zip_file()
  File "C:\Users\MANJU\OneDrive\Desktop\MajorProjectResearchPaper\EndToEndMajorProject\src\cnnClassifier\components\data_ingestion.py", line 41, in extract_zip_file
    zip_ref.extractall(unzip_path)
  File "C:\Users\MANJU\Anaconda3\envs\diabetic_retinopathy\lib\zipfile.py", line 1673, in extractall
    self._extract_member(zipinfo, path, pwd)
  File "C:\Users\MANJU\Anaconda3\envs\diabetic_retinopathy\lib\zipfile.py", line 1727, in _extract_member
    open(targetpath, "wb") as target:
PermissionError: [Errno 13] Permission denied: 'artifacts\\data_ingestion\\aptos2019dataset\\test.csv'
[2026-03-28 12:59:13,888: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-28 12:59:13,888: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 12:59:13,902: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-28 12:59:13,909: INFO: common: created directory at:artifacts]
[2026-03-28 12:59:13,910: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-28 13:00:38,390: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x=========X]
[2026-03-28 13:00:38,390: INFO: main: *******************]
[2026-03-28 13:00:38,390: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2026-03-28 13:00:38,423: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 13:00:38,431: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-28 13:00:38,431: INFO: common: created directory at:artifacts]
[2026-03-28 13:00:38,449: INFO: common: created directory at:artifacts/prepare_base_model]
[2026-03-28 13:00:40,523: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-03-28 13:00:41,949: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x=========X]
[2026-03-28 13:00:41,955: INFO: main: *******************]
[2026-03-28 13:00:41,955: INFO: main: >>>>>> stage Training started <<<<<<]
[2026-03-28 13:00:41,957: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 13:00:41,968: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-28 13:00:41,968: INFO: common: created directory at:artifacts]
[2026-03-28 13:00:41,973: INFO: common: created directory at:artifacts\training]
[2026-03-28 13:15:12,473: INFO: main: >>>>>> stage Training completed <<<<<<

x=========X]
[2026-03-31 14:07:54,621: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-31 14:07:54,703: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-31 14:07:54,717: INFO: common: created directory at:artifacts]
[2026-04-01 02:00:40,615: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-01 02:00:40,629: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-01 02:00:40,633: INFO: common: created directory at:artifacts]
[2026-04-01 02:00:44,221: WARNING: module_wrapper: From c:\Users\MANJU\Anaconda3\envs\diabetic_retinopathy\lib\site-packages\keras\src\utils\tf_utils.py:492: The name tf.ragged.RaggedTensorValue is deprecated. Please use tf.compat.v1.ragged.RaggedTensorValue instead.
]
[2026-04-01 02:07:43,135: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-01 02:07:43,151: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-01 02:07:43,151: INFO: common: created directory at:artifacts]
[2026-04-01 02:24:23,974: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-01 02:24:23,982: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-01 02:24:23,987: INFO: common: created directory at:artifacts]
[2026-04-01 02:29:42,992: INFO: common: json file saved at: scores.json]
[2026-04-01 02:30:01,389: INFO: builder_impl: Assets written to: C:\Users\MANJU\AppData\Local\Temp\tmpa2fimqti\model\data\model\assets]
